Total	X1	X2	M1	M2	S1	S2
531	190.6	2	19.222	0.9366	15.834667	5.7220738
532	190.3	2	17.468	0.8308	16.6351684	6.1536364
533	173.2	2	21.488	0.7292	18.6035364	9.4031012
535	191.7	2	21.21	0.8318	20.330184	7.6071316
536	193.5	2	18.272	0.6746	16.5037392	9.7084434
537	192.4	2	21.186	0.7942	15.4940152	8.1199278
539	191.5	2	23.784	0.8332	14.3909466	5.7035114
540	195.1	2	20.822	0.9174	9.6440574	5.8472348
541	196.4	2	18.63	0.8708	16.9847248	10.8737758
543	199.6	2	23.238	0.7416	13.8302292	8.4901248
545	200.9	2	18.81	0.6978	14.6350972	6.5117932
546	199	2	22.382	0.925	17.4912748	7.0436816
548	200.8	2	22.002	0.8214	18.8923416	8.0424764
550	203.6	2	19.924	0.825	19.2561748	8.1665662
551	202	2	25.238	0.8694	12.075842	5.1884926
552	204.7	2	23.496	0.7956	15.2852998	4.973456
553	205.6	2	22.77	0.8204	18.3768908	7.7406108
555	207.2	2.2	20.336	0.8362	17.1665508	6.2201548
556	206.8	2	26.178	0.8688	20.3419868	8.5703616
559	210.2	2	26.15	0.8292	16.3091416	7.5978054
560	212.1	2	19.334	0.717	15.6880724	5.3003108
561	210.8	2	22.724	0.842	16.5679404	5.9106162
562	212.4	2.3	23.402	0.9078	10.2228468	5.055588
563	213.3	2	25.246	0.8076	13.7768358	7.4861406
564	213.4	2	24.268	0.888	12.8699586	9.902819
565	215.2	2	19.282	0.864	17.4499756	6.3406596
567	215.4	2	26.572	0.897	18.6864838	9.4555206
569	216.2	2	26.442	1.449	16.5888452	7.8239048
570	220.4	2.2	27.194	0.8356	14.3333914	7.012922
572	218.1	2	25.314	0.9196	14.3974488	6.4384194
573	220.1	2	21.694	0.837	21.97919	43.4493388
574	221.2	2	25.708	0.7568	18.4573824	12.2713288
575	221.9	2	20.696	0.7852	19.1211564	4.9306372
576	222.5	2	24.524	0.9802	17.3411438	6.4277522
577	221	2	24.664	0.8534	15.5082828	7.8115348
580	225.8	2	27.904	0.9162	17.4743522	7.3585564
583	229.3	2	22.538	0.8762	13.7579762	8.086934
584	230.1	2	25.836	0.7794	21.6586612	6.3906944
585	229.6	2	28.008	0.863	10.536307	5.0277554
586	229.9	2	24.448	0.9404	11.019099	5.4093992
587	231.5	2	27.532	0.8746	13.0194284	6.9523558
588	229.4	2	26.86	0.9866	15.8262498	7.9545742
590	234.3	2	29.176	0.765	21.317648	6.77465
591	233.1	2	28.05	4.2844	18.8398582	9.7228552
594	237.2	2	28.202	0.8966	14.490148	6.2136572
596	237.8	2	28.368	0.8986	13.3196346	5.1925282
598	240	2	25.19	0.876	16.3829154	5.1908094
599	240.9	2	24.698	0.7896	14.8273434	6.8046656
600	241.4	2	33.488	0.8774	10.9062374	5.7913972
602	242.7	2	26.068	1.1524	20.430356	9.3106392
604	249.5	2	24.324	0.9504	20.006296	4.6567468
605	244.8	2	29.86	0.9394	12.11644	7.3982216
607	246.7	2	29.164	0.9504	12.311202	6.3417862
609	249.1	2	26.894	0.937	19.345572	7.906621
611	250.6	2	27.452	1.2802	15.9018882	6.4866892
612	251	2.1	29.094	0.8552	18.7956788	9.0689878
615	257.8	2	28.992	0.7632	20.758774	5.5636248
616	254.7	2	25.442	0.864	19.8414364	6.036462
618	255	2	30.246	0.9424	14.7094058	5.3854876
619	256.7	2	27.962	1.8764	23.7600598	8.2219954
621	259.2	2	31.236	0.9848	11.7638906	5.2870018
