Total	S3	S4	S5	S6	S8
278	4.4310272	25.5541332	2.7436524	8.434749	13.4014522
279	3.3979834	13.9830732	3.1167966	6.3372988	14.0451968
280	2.8854316	25.2016242	2.6291976	4.818223	34.7107944
281	2.960973	16.6059138	2.4283046	6.0333856	16.085541
282	3.3281892	26.053138	1.9008386	4.4083362	15.0707942
283	4.1824796	17.3789452	3.0280944	6.7495684	18.796566
285	3.3220588	15.6496364	2.8528956	6.3282892	15.572355
286	2.7776026	33.4492826	2.1454224	7.5749976	30.3324916
287	18.7561142	49.1113768	21.377732	36.4501042	42.3320242
288	3.4490486	15.8314464	2.6713748	5.649812	27.3068194
290	3.5253356	14.3920862	2.5435506	6.7680674	316.3708008
291	3.8201474	19.6360952	3.0594574	6.4509044	24.8909472
292	3.2080232	13.3128362	2.7498068	5.7461868	17.4037368
293	3.3056212	15.6268826	1.749288	5.9366592	14.9518862
294	3.2864186	17.788059	2.412335	6.5598906	16.740422
295	3.281003	18.7567532	2.7696794	5.8361474	18.1302524
297	20.5297412	49.1528884	17.3480596	38.0421172	50.804381
299	2.741936	19.679029	2.2714388	6.6450182	15.2601992
300	4.0356072	15.185602	2.9104718	5.7817434	13.7177082
301	3.6612694	26.2251018	2.5989756	6.1802746	21.1184134
302	4.1358136	34.578668	4.1687756	7.2843764	19.9439472
303	2.8768566	10.6403614	2.2807678	5.307236	20.6621492
304	3.5826534	17.0245422	4.0715618	5.8922318	18.4886156
305	2.8665804	14.8261812	2.464043	5.1241036	17.279516
306	3.9504542	20.6773968	3.863868	8.1934904	33.337573
307	18.6820128	55.6161082	20.879928	24.1953028	54.222769
308	3.1824752	23.4860718	2.654131	7.271657	23.3062644
309	3.7701304	18.9339716	19.6998764	7.4186848	20.0550172
310	2.5696136	18.9155164	2.4484684	5.1510274	21.4125024
311	3.3076904	12.692409	2.8133866	6.3523828	32.977222
312	2.942446	23.9519544	2.233497	6.2118736	18.0566764
313	3.9849348	19.2386456	4.4066604	7.6442836	22.5339052
315	2.851257	19.149919	2.2907388	6.6322734	15.1254886
316	3.3137758	22.5189896	4.0448608	6.8506552	22.2838252
317	21.8708378	80.6210024	13.9772278	26.7512276	48.9344366
318	3.8319394	39.2171928	2.9566942	8.0806738	38.624696
319	2.9375236	18.7346992	2.779591	7.7662512	21.2551754
322	3.0365376	16.3526044	2.4648234	6.8161564	19.7867344
324	3.2713486	19.5232752	3.234668	7.4569272	18.8481532
325	4.2001656	28.072374	4.497846	7.9789986	31.6270898
326	2.6745848	31.7063894	2.3389364	5.9161166	19.9755066
327	3.8861768	19.0749556	3.4451644	7.960928	20.4761352
