Uniques	Duplicates	X1	M1	S1
270	121	104.9	10.8292	10.239472
270	128	107.6	10.1138	8.7834724
270	13	57.2	6.8828	9.2879678
270	135	110.8	9.847	10.9248606
270	20	57	7.4652	7.3444524
270	27	59.8	7.2018	9.818768
270	33	62.6	6.9802	5.5723292
270	40	65.4	7.2252	6.6920204
270	47	68.4	9.344	7.5883302
270	54	71.5	8.414	8.734701
270	6	58.2	6.028	32.4200742
270	60	73.1	8.0648	13.5161696
270	67	76.5	9.7448	9.9575308
270	74	80.2	8.277	6.9855724
270	81	83.6	8.6752	7.3729994
270	87	86.2	8.9612	8.6563988
270	94	89.8	8.952	8.5201416
280	105	99.4	9.8362	10.6623672
280	112	103.6	11.092	11.7876472
280	119	108.7	12.4792	12.3663624
280	126	110.8	11.2694	11.4830844
280	133	116.1	12.184	11.5663988
280	14	59.2	6.9534	7.8436038
280	140	118.5	11.24	11.3866208
280	21	61.8	7.019	7.319358
280	28	63.7	8.3974	8.8861682
280	35	66.3	7.3996	9.0526738
280	42	70.3	7.8504	11.3022306
280	49	72.7	9.983	7.8241214
280	56	75.9	8.7316	8.6932858
280	63	79.1	9.3078	9.8457342
280	7	60.9	6.97	26.2187236
280	70	82.1	10.2408	10.5892618
280	77	85.6	8.7072	7.6473444
280	84	89	10.4708	7.9962214
280	91	92.9	9.3228	8.2738322
280	98	96.5	9.4048	10.555918
290	101	103.4	10.4074	11.90113
290	108	106.4	11.732	11.2358808
290	116	110.6	10.738	12.0160468
290	123	114.8	10.682	12.0642644
290	130	118.6	13.53	12.2669532
290	137	123.4	12.774	11.802126
290	14	62.6	8.5788	8.642367
290	145	127.3	11.084	10.7024584
290	21	64.7	7.5864	6.6239838
290	29	67.6	8.035	6.829166
290	36	71.3	8.522	9.183366
290	43	74.2	8.7428	6.3361036
290	50	79	9.298	6.1292686
290	58	81.4	9.7814	8.305434
290	65	84.8	10.2544	9.0565212
290	7	65.5	7.8812	24.5197776
290	72	87.8	11.1042	9.913854
290	79	92.3	9.6672	7.9856454
290	87	96.3	9.6972	11.3802156
290	94	100.1	9.6402	8.7535736
300	105	109.9	13.034	11.7392204
300	112	114.2	12.672	11.6780344
300	120	118.6	13.328	11.1569244
300	127	123.1	14.22	10.6100624
300	135	128.3	14.78	7.815318
300	142	132.2	14.884	12.4932602
300	15	66.4	9.8772	9.5790662
300	150	136	14.584	10.2119978
300	22	69	9.1644	7.0464292
300	30	73.1	9.9858	8.49205
300	37	76.1	11.4792	7.9850226
300	45	80.4	9.2678	6.3340332
300	52	83.4	9.4476	10.5032938
300	60	87.1	9.9354	11.5882174
300	67	90.6	9.6678	6.124454
300	7	69.8	7.3328	33.360324
300	75	95	10.9974	7.407058
300	82	97.5	11.356	8.4912082
300	90	102.6	11.988	11.0363632
300	97	105.6	13.052	10.83546
310	100	114	11.384	8.607669
310	108	118.2	12.144	13.278154
310	116	126.5	14.712	13.6565092
310	124	126.9	12.066	13.3267612
310	131	130.8	12.558	14.0394796
310	139	135.9	12.884	15.9471892
310	147	142.5	13.408	15.5393408
310	15	70.8	9.8136	10.1715102
310	155	148.1	14.61	14.5989444
310	23	74.6	10.6602	7.570813
310	31	77.7	10.056	8.1301144
310	38	80.8	11.544	8.0488338
310	46	84.9	12.5346	6.6263286
310	54	88.6	11.0762	7.8254684
310	62	92.8	10.5132	12.280525
310	69	100.3	10.3894	8.1146772
310	7	74.8	10.0272	27.79406
310	77	102.7	11.172	9.3909414
310	85	104.9	11.77	9.3123172
310	93	109.2	10.916	6.0312602
320	104	120.7	13.852	12.0171864
320	112	125.3	11.82	12.3747584
320	120	130.4	12.098	13.2840932
320	128	134.7	12.706	11.6461602
320	136	142.5	13.002	15.4454876
320	144	145.5	13.588	12.3493842
320	152	149.8	15.724	13.4893688
320	16	76.2	9.788	7.6458064
320	160	155.8	14.756	13.6508712
320	24	79.2	9.3038	10.1110254
320	32	82.8	9.3132	7.2089916
320	40	87	9.5652	6.721535
320	48	91	9.8506	10.7396372
320	56	95.6	10.2862	8.9736116
320	64	99.8	10.624	6.3238178
320	72	103.1	10.49	7.8276576
320	8	79.4	8.6552	32.2098574
320	80	107.6	12.096	10.61918
320	88	111.5	11.062	11.5327728
320	96	116.9	11.202	12.0506064
330	107	129.3	18.614	11.0123202
330	115	133	16.53	12.4268308
330	123	137.7	13.784	11.2285844
330	132	143.4	14.436	14.6763816
330	140	149.5	14.048	13.0835392
330	148	154.1	14.304	13.59512
330	156	158.9	15.094	13.4745764
330	16	80.2	9.2902	10.9360452
330	165	165	16.932	12.8163792
330	24	83.5	10.964	10.466751
330	33	88.5	10.073	7.5181742
330	41	92.4	11.5064	6.9530688
330	49	96.3	11.564	7.002621
330	57	100.5	11.684	11.001949
330	66	106.3	14.484	8.8236002
330	74	111.7	14.958	8.3391616
330	8	85.4	10.6292	29.6207708
330	82	115.3	16.752	9.8202944
330	90	119.3	17.64	9.895482
330	99	123.2	14.52	8.5786766
340	102	132.5	13.824	13.7527236
340	110	136.3	14.3	12.076039
340	119	141.6	15.768	12.5289696
340	127	148.3	14.752	13.271028
340	136	154.2	13.908	15.4027512
340	144	157.5	14.588	76.7050776
340	153	163	14.912	14.1486628
340	161	168.7	14.986	14.5415916
340	17	85.5	10.0734	9.519638
340	170	176.4	15.724	14.8492164
340	25	89.3	12.886	10.7362644
340	34	93.7	11.768	9.4057848
340	42	98	11.3	7.4016256
340	51	102.6	12.41	7.2464586
340	59	108.4	11.982	9.897729
340	68	112.9	12.72	8.4848164
340	76	116.2	12.766	11.148836
340	8	91.7	11.4044	24.562983
340	85	121.2	14.684	12.3412256
340	93	126.6	14.172	12.5209952
350	105	138.1	15.224	10.0331196
350	113	143.5	17.442	10.1833484
350	122	150	16.67	14.2664476
350	131	158.2	15.788	11.9125348
350	140	161.2	17.26	13.8417956
350	148	167.1	17.602	14.451696
350	157	173.7	16.3	15.139716
350	166	179	17.458	13.7915486
350	17	90.5	10.2002	9.801385
350	175	185.4	20.378	15.1213516
350	26	94.8	10.61	15.077823
350	35	99.3	14.43	7.7664694
350	43	105	13.082	8.0555546
350	52	110.1	13.08	10.7787382
350	61	113.9	13.776	9.7741082
350	70	118.5	14.096	9.2984858
350	78	123.1	15.186	9.4835914
350	8	95.1	10.2046	26.1695916
350	87	128.3	16.666	12.0285748
350	96	133.5	15.858	12.3540794
360	108	147.7	15.152	13.914395
360	117	153.1	16.332	12.0786192
360	126	158.8	16.37	18.9619968
360	135	164.7	15.828	18.020858
360	144	171.7	18.488	13.0488458
360	153	177.1	23.73	16.1063104
360	162	183.2	21.162	15.7111076
360	171	190.6	19.222	15.834667
360	18	95.5	11.216	17.5493012
360	180	196.7	19.43	16.0224512
360	27	101.7	12.74	11.8041592
360	36	105.1	11.472	11.1220254
360	45	110.1	13.074	8.186475
360	54	115.7	12.55	9.6991618
360	63	120.5	14.908	7.418297
360	72	127.1	14.396	7.924932
360	81	131.1	14.426	9.450508
360	9	101	11.942	30.4321508
360	90	136.8	13.652	11.016197
360	99	142.4	15.736	15.4393564
370	101	149.1	18.43	15.6963124
370	111	155	16.292	14.078458
370	120	162.4	18.074	13.1739858
370	129	167.5	17.208	18.4277208
370	138	173.8	17.302	16.2546332
370	148	180.9	16.74	15.7940088
370	157	186.5	18.758	14.1504234
370	166	193.5	18.272	16.5037392
370	175	200.9	18.81	14.6350972
370	18	105.4	13.898	14.3588838
370	185	207.2	20.336	17.1665508
370	27	108.5	14.668	14.7865114
370	37	112.9	14.03	8.5662674
370	46	115.7	12.7	11.220255
370	55	120.9	14.508	10.1137634
370	64	126.8	18.45	6.9296172
370	74	132.3	17.29	9.8496248
370	83	138.5	17.374	12.6143014
370	9	108	14.552	34.18441
370	92	144.1	17.218	14.4962872
380	104	157.7	15.61	15.5196588
380	114	164.3	16.15	15.934976
380	123	170.1	17.87	13.6056096
380	133	177	17.056	18.345576
380	142	183.4	17.838	20.8238248
380	152	190.3	17.468	16.6351684
380	161	196.4	18.63	16.9847248
380	171	204.4	18.762	17.52509
380	180	212.1	19.334	15.6880724
380	19	106.9	12.368	15.2183218
380	190	220.9	22.472	19.2228596
380	28	111.3	12.632	13.0032508
380	38	117.8	12.826	8.8965922
380	47	122.4	13.288	12.0314502
380	57	128.4	13.828	16.9277028
380	66	133.2	14.588	9.9433096
380	76	140.4	14.418	11.766727
380	85	145.4	14.736	11.229885
380	9	112.6	14.688	32.1430446
380	95	152	16.988	13.5566312
390	107	167.4	23.478	15.6290596
390	117	173	18.086	14.4303292
390	126	178.7	20.01	14.2119986
390	136	187.2	19.7	16.279424
390	146	193.6	19.426	16.4623644
390	156	200.5	19.09	17.0122748
390	165	208.5	19.49	17.09493
